id,value
beauty,
beauty.Available,110.0
beauty.Denture,110.0
beauty.Know,204.0
beauty.Makeup,205.0
beauty.New,134.0
beauty.Older,204.0
beauty.Public,110.0
beauty.Technology,110.0
beauty.Tips,204.0
beauty.Women,205.0
entertainment,
entertainment.Boo,627.0
entertainment.Honey,626.0
entertainment.Incredible,1162.0
entertainment.Like,2038.0
entertainment.Looks,2201.0
entertainment.Losing,715.0
entertainment.Model,636.0
entertainment.Mom,623.0
entertainment.Stunning,1070.0
entertainment.Today,627.0
finance,
finance.Apple,145.0
finance.Brilliant,551.0
finance.Military,144.0
finance.Mortgage,580.0
finance.Paying,523.0
finance.Quietly,144.0
finance.Residents,158.0
finance.Shark,538.0
finance.Tank,534.0
finance.Tip,534.0
home,
home.Cleaning,159.0
home.Clever,137.0
home.Expensive,117.0
home.Furniture,124.0
home.Homeowners,139.0
home.Know,164.0
home.Mattresses,117.0
home.See,111.0
home.Tricks,137.0
home.Waste,117.0
lifestyle,
lifestyle.Americans,260.0
lifestyle.Believe,315.0
lifestyle.Book,281.0
lifestyle.Brace,777.0
lifestyle.Enter,540.0
lifestyle.Lovers,313.0
lifestyle.Myth,260.0
lifestyle.Name,254.0
lifestyle.One,287.0
lifestyle.Seconds,778.0
